Monat und Jahr; Ausfuhr: Wert in Tsd. EUR
Jan 19;108899538
Feb 19;108836771
Mrz 19;118219120
Apr 19;109975423
Mai 19;114248805
Jun 19;106163613
Jul 19;114974339
Aug 19;101617007
Sep 19;114148223
Okt 19;119762654
Nov 19;113243512
Dez 19;98062559
Jan 20;106611342
Feb 20;109137231
Mrz 20;109270787
Apr 20;75919706
Mai 20;80578119
Jun 20;95965247
Jul 20;102776871
Aug 20;91242678
Sep 20;109942262
Okt 20;112193388
Nov 20;112079140
Dez 20;101211694
Jan 21;98174503
Feb 21;107263064
Mrz 21;127359550
Apr 21;112236936
Mai 21;109813044
Jun 21;118512761
Jul 21;114791223
Aug 21;103835793
Sep 21;117676990
Okt 21;120549652
Nov 21;125311805
Dez 21;115871730
Jan 22;116538420
Feb 22;124118447
Mrz 22;142995326
Apr 22;123225041
Mai 22;137427872
Jun 22;137798988
Jul 22;129232494
Aug 22;129691536
Sep 22;146676479
Okt 22;135669767
Nov 22;145574713
Dez 22;125392611
Jan 23;128947213
Feb 23;132058048
Â© Statistisches Bundesamt (Destatis), 2025;
Stand: 10.07.2025 / 15:03:04;
