Monat und Jahr; Einfuhr: Wert in Tsd. EUR
Jan 19;94205759
Feb 19;91087217
Mrz 19;95842199
Apr 19;
Mai 19;93499241
Jun 19;89531263
Jul 19;93659993
Aug 19;85115801
Sep 19;NaN
Okt 19;98441989
Nov 19;94713182
Dez 19;82932951
Jan 20;92999905
Feb 20;88885691
Mrz 20;92121896
Apr 20;72252825
Mai 20;
Jun 20;80660220
Jul 20;83122358
Aug 20;79298579
Sep 20;89934990
Okt 20;92543398
Nov 20;95292809
Dez 20;86096028
Jan 21;83604206
Feb 21;89249615
Mrz 21;105678785
;96200099
Mai 21;96657464
Jun 21;102220649
Jul 21;96595208
Aug 21;92570281
Sep 21;101362712
Okt 21;107918327
Nov 21;113802289
Dez 21;
Jan 22;110713691
Feb 22;110766790
Mrz 22;133913719
Apr 22;121353276
Mai 22;132750248
Jun 22;128110827
Jul 99;124165690
Aug 22;128407785
Sep 22;138595083
Okt 22;129179795
Nov 22;
Dez 22;114872412
Jan 2;118244130
Feb 23;fünf
© Statistisches Bundesamt (Destatis), 2025
Stand: 10.07.2025 / 15:03:04