key;Ausfuhr: Gewicht
YRMZ8XWQ;34315195,6
KP4NXM27;34663885,0
TXQW9Y3L;39170837,8
BZL7RCXM;35664280,5
3YPXKQW8;37697758,8
WQM29LTX;35493894,8
RVKX0MYP;37243230,5
X7LYPZQ3;35688188,0
MAW04XRY;37137523,7
PLXZTN93;37095968,4
98RXWLCY;34919155,2
K3ZPXYMQ;29727664,3
LWTYRVX0;34289918,8
ZV7MQRXP;36149463,0
TYX9W3AL;37544373,5
CXRM4YPZ;29721555,1
XQ27VYLM;29448360,1
7LPYXKWR;32500767,5
QRYWZ3X0;33280319,1
VGPLX8MT;32671172,0
WRNQZTY9;35992951,5
MZ8RXPQL;36597367,1
KXYQ3WLP;36050785,9
L7TXWMZ9;32505044,0
Y0ZLPRXQ;31642832,4
9MXLQRYA;30678772,0
TZXPMW43;36532402,9
RW0XKLYQ;33087150,7
VQPZYM78;33268551,9
P3YXRMWL;33340253,3
XLRKWZ8Q;33366893,1
AYWPZLTX;30157348,9
MWXTY9QR;32833659,5
ZK9RWXPM;33476313,4
3YXLVTPQ;32540850,3
KQRMPXW8;30737514,9
LTPWQZRY;31353964,4
NXY8MLRQ;31829066,3
XW9RTYPL;35788181,7
PQMXWZ47;32056433,8
VYTQMRLX;32792374,6
R8WXLPYZ;32409152,4
M3ZXRWQL;30276375,1
LXY0PKWR;28788871,9
YWQTXRM9;31715035,3
K9LZPXYQ;30924668,7
TXRMPYW7;31797284,3
ZPY3WLXQ;26949714,4
RXN8QTML;28842110,7
WLYPKXQ3;28743462,5